playersk,playername,season,matches,inningsbatted,inningsbowled,runs,ballsfaced,notouts,highestscore,battingaverage,strikerate,fours,sixes,oversbowled,runsconceded,wickets,bowlingaverage,economy,catches,stumpings,runouts,ingestionts
1,S Anirudha,2008,1,1,0,1,7,0,1,1.0,14.29,0,0,0.0,0,0,,0.0,0,0,0,2026-01-07T06:31:26.654Z
2,TM Dilshan,2008,7,7,1,104,78,1,33,17.33,133.33,14,3,1.0,3,1,3.0,3.0,5,0,2,2026-01-07T06:31:26.654Z
4,M Muralitharan,2008,15,1,15,0,3,0,0,0.0,0.0,0,0,58.0,416,11,37.82,7.17,4,0,0,2026-01-07T06:31:26.654Z
8,DR Smith,2008,4,3,4,45,40,0,20,15.0,112.5,5,1,11.0,83,5,16.6,7.55,2,0,0,2026-01-07T06:31:26.654Z
11,M Manhas,2008,1,0,0,0,0,0,0,,0.0,0,0,0.0,0,0,,0.0,1,0,1,2026-01-07T06:31:26.654Z
15,B Lee,2008,4,3,4,17,12,2,16,17.0,141.67,2,1,16.0,118,4,29.5,7.38,1,0,1,2026-01-07T06:31:26.654Z
16,A Mukund,2008,2,1,0,0,1,0,0,0.0,0.0,0,0,0.0,0,0,,0.0,3,0,0,2026-01-07T06:31:26.654Z
20,Mohammad Hafeez,2008,8,8,4,64,83,1,16,9.14,77.11,7,2,10.0,71,2,35.5,7.1,1,0,1,2026-01-07T06:31:26.654Z
21,LPC Silva,2008,3,3,1,40,26,1,23,20.0,153.85,5,1,1.0,21,0,,21.0,3,0,1,2026-01-07T06:31:26.654Z
24,Joginder Sharma,2008,8,2,7,16,11,0,16,8.0,145.45,1,1,24.666666666666668,241,8,30.13,9.77,4,0,1,2026-01-07T06:31:26.654Z
26,YK Pathan,2008,16,15,13,435,239,1,68,31.07,182.01,43,25,28.166666666666664,233,8,29.13,8.27,3,0,2,2026-01-07T06:31:26.654Z
28,RG Sharma,2008,13,12,1,404,270,1,76,36.73,149.63,38,19,4.0,26,1,26.0,6.5,8,0,0,2026-01-07T06:31:26.654Z
31,S Badrinath,2008,12,11,0,192,130,5,64,32.0,147.69,21,8,0.0,0,0,,0.0,5,0,2,2026-01-07T06:31:26.654Z
32,KC Sangakkara,2008,9,9,0,320,197,0,94,35.56,162.44,41,8,0.0,0,0,,0.0,4,0,0,2026-01-07T06:31:26.654Z
33,SK Trivedi,2008,15,3,15,5,12,2,3,5.0,41.67,0,0,48.0,407,13,31.31,8.48,2,0,1,2026-01-07T06:31:26.654Z
36,J Arunkumar,2008,3,3,0,23,23,0,22,7.67,100.0,5,0,0.0,0,0,,0.0,0,0,0,2026-01-07T06:31:26.654Z
37,RT Ponting,2008,4,4,0,39,53,0,20,9.75,73.58,2,1,0.0,0,0,,0.0,2,0,0,2026-01-07T06:31:26.654Z
47,AB Agarkar,2008,9,6,9,54,45,1,20,10.8,120.0,5,2,26.0,211,8,26.38,8.12,0,0,1,2026-01-07T06:31:26.654Z
48,MS Gony,2008,16,5,16,35,22,4,15,35.0,159.09,2,3,60.0,456,17,26.82,7.6,1,0,1,2026-01-07T06:31:26.654Z
49,SD Chitnis,2008,3,2,2,18,9,0,15,9.0,200.0,1,1,6.0,62,2,31.0,10.33,1,0,0,2026-01-07T06:31:26.654Z
53,DJ Thornely,2008,5,4,4,39,53,2,30,19.5,73.58,2,2,7.0,40,3,13.33,5.71,2,0,0,2026-01-07T06:31:26.654Z
59,MF Maharoof,2008,10,8,10,125,79,2,39,20.83,158.23,10,7,36.0,255,15,17.0,7.08,3,0,1,2026-01-07T06:31:26.654Z
60,SA Asnodkar,2008,9,9,0,311,231,0,60,34.56,134.63,43,6,0.0,0,0,,0.0,5,0,0,2026-01-07T06:31:26.654Z
66,VS Yeligati,2008,2,1,2,2,2,0,2,2.0,100.0,0,0,5.0,61,0,,12.2,0,0,0,2026-01-07T06:31:26.654Z
