teamsk,teamname,season,matchesplayed,wins,losses,noresults,runsscored,runsconceded,wicketstaken,wicketslost,avgrunsscored,avgrunsconceded,netrunrate,points,ingestionts
11,Delhi Daredevils,2014,14,2,12,0,2081,2184,59,86,148.64,156.0,-1.073,4,2026-01-07T06:33:12.666Z
6,Royal Challengers Bangalore,2016,16,9,7,0,2981,2711,98,71,186.31,169.44,0.801,18,2026-01-07T06:33:12.666Z
4,Rajasthan Royals,2009,13,6,7,0,1688,1810,86,93,129.85,139.23,-0.204,12,2026-01-07T06:33:12.666Z
11,Delhi Daredevils,2009,15,10,5,0,2131,2158,106,75,142.07,143.87,0.199,20,2026-01-07T06:33:12.666Z
9,Kings XI Punjab,2012,16,8,8,0,2390,2455,93,102,149.38,153.44,-0.241,16,2026-01-07T06:33:12.666Z
4,Rajasthan Royals,2015,14,7,6,1,2137,2382,73,79,152.64,170.14,-0.294,15,2026-01-07T06:33:12.666Z
7,Kolkata Knight Riders,2009,13,3,10,0,1757,1957,59,72,135.15,150.54,-0.67,6,2026-01-07T06:33:12.666Z
6,Royal Challengers Bangalore,2012,15,8,7,0,2472,2505,89,83,164.8,167.0,-0.017,16,2026-01-07T06:33:12.666Z
9,Kings XI Punjab,2016,14,4,10,0,2134,2233,73,91,152.43,159.5,-0.643,8,2026-01-07T06:33:12.666Z
11,Delhi Daredevils,2013,16,3,13,0,2234,2436,76,110,139.63,152.25,-0.772,6,2026-01-07T06:33:12.666Z
2,Deccan Chargers,2010,16,8,8,0,2374,2482,102,113,148.38,155.13,-0.407,16,2026-01-07T06:33:12.666Z
7,Kolkata Knight Riders,2011,15,8,7,0,2023,2072,88,71,134.87,138.13,0.245,16,2026-01-07T06:33:12.666Z
11,Delhi Daredevils,2012,18,11,7,0,2645,2745,101,94,146.94,152.5,0.3,22,2026-01-07T06:33:12.666Z
10,Pune Warriors,2011,14,4,9,1,1775,1914,76,83,126.79,136.71,0.009,9,2026-01-07T06:33:12.666Z
2,Deccan Chargers,2008,14,2,12,0,2229,2307,67,93,159.21,164.79,-0.431,4,2026-01-07T06:33:12.666Z
1,Chennai Super Kings,2010,16,9,7,0,2595,2507,102,87,162.19,156.69,0.389,18,2026-01-07T06:33:12.666Z
0,Sunrisers Hyderabad,2015,14,7,7,0,2210,2126,79,81,157.86,151.86,-0.217,14,2026-01-07T06:33:12.666Z
12,Mumbai Indians,2008,14,7,7,0,2080,2096,94,79,148.57,149.71,0.291,14,2026-01-07T06:33:12.666Z
1,Chennai Super Kings,2009,14,8,6,0,2231,2004,91,81,159.36,143.14,0.56,16,2026-01-07T06:33:12.666Z
4,Rajasthan Royals,2010,14,6,8,0,2179,2224,79,94,155.64,158.86,-0.467,12,2026-01-07T06:33:12.666Z
7,Kolkata Knight Riders,2012,17,12,5,0,2504,2366,107,94,147.29,139.18,0.546,24,2026-01-07T06:33:12.666Z
7,Kolkata Knight Riders,2013,16,6,10,0,2290,2316,97,102,143.13,144.75,-0.044,12,2026-01-07T06:33:12.666Z
9,Kings XI Punjab,2009,14,7,7,0,1928,1886,76,87,137.71,134.71,-0.396,14,2026-01-07T06:33:12.666Z
6,Royal Challengers Bangalore,2010,16,8,8,0,2401,2511,94,86,150.06,156.94,0.212,16,2026-01-07T06:33:12.666Z
6,Royal Challengers Bangalore,2009,16,9,7,0,2280,2316,88,106,142.5,144.75,-0.165,18,2026-01-07T06:33:12.666Z
10,Pune Warriors,2013,16,4,12,0,2262,2519,83,111,141.38,157.44,-0.946,8,2026-01-07T06:33:12.666Z
0,Sunrisers Hyderabad,2017,14,8,6,0,2349,2166,96,62,167.79,154.71,0.364,16,2026-01-07T06:33:12.666Z
12,Mumbai Indians,2010,16,11,5,0,2738,2417,101,101,171.13,151.06,0.803,22,2026-01-07T06:33:12.666Z
11,Delhi Daredevils,2015,14,5,8,1,2168,1978,74,76,154.86,141.29,0.136,11,2026-01-07T06:33:12.666Z
6,Royal Challengers Bangalore,2015,16,8,6,2,2311,2184,103,79,144.44,136.5,0.75,18,2026-01-07T06:33:12.666Z
