venue_sk,venue_name,season,team1_sk,team2_sk,toss_winner_team_sk,toss_decision,match_winner_team_sk,total_matches,team1_wins,team2_wins,batting_first_wins,chasing_wins,avg_first_innings_score,avg_second_innings_score,ingestionts
12,"Rajiv Gandhi International Stadium, Uppal",2017,0,6,6,field,0,1,1,0,1,0,207.0,172.0,2026-01-07T06:33:37.858Z
7,Maharashtra Cricket Association Stadium,2017,12,8,13,field,8,1,0,1,0,1,184.0,187.0,2026-01-07T06:33:37.858Z
24,Saurashtra Cricket Association Stadium,2017,5,7,7,field,7,1,0,1,0,1,183.0,184.0,2026-01-07T06:33:37.858Z
16,Holkar Cricket Stadium,2017,8,9,9,field,9,1,0,1,0,1,163.0,164.0,2026-01-07T06:33:37.858Z
10,M Chinnaswamy Stadium,2017,6,11,6,bat,6,1,1,0,1,0,157.0,142.0,2026-01-07T06:33:37.858Z
12,"Rajiv Gandhi International Stadium, Uppal",2017,5,0,0,field,0,1,0,1,0,1,135.0,140.0,2026-01-07T06:33:37.858Z
21,Wankhede Stadium,2017,7,12,12,field,12,1,0,1,0,1,178.0,180.0,2026-01-07T06:33:37.858Z
16,Holkar Cricket Stadium,2017,6,9,6,bat,9,1,0,1,0,1,148.0,150.0,2026-01-07T06:33:37.858Z
7,Maharashtra Cricket Association Stadium,2017,11,8,13,field,11,1,1,0,1,0,205.0,108.0,2026-01-07T06:33:37.858Z
21,Wankhede Stadium,2017,0,12,12,field,12,1,0,1,0,1,158.0,159.0,2026-01-07T06:33:37.858Z
8,Eden Gardens,2017,9,7,7,field,7,1,0,1,0,1,170.0,171.0,2026-01-07T06:33:37.858Z
10,M Chinnaswamy Stadium,2017,6,12,12,field,12,1,0,1,0,1,142.0,145.0,2026-01-07T06:33:37.858Z
24,Saurashtra Cricket Association Stadium,2017,8,5,5,field,5,1,0,1,0,1,171.0,172.0,2026-01-07T06:33:37.858Z
8,Eden Gardens,2017,7,0,0,field,7,1,1,0,1,0,172.0,155.0,2026-01-07T06:33:37.858Z
11,Feroz Shah Kotla,2017,11,9,11,bat,11,1,1,0,1,0,188.0,137.0,2026-01-07T06:33:37.858Z
21,Wankhede Stadium,2017,5,12,12,field,12,1,0,1,0,1,176.0,177.0,2026-01-07T06:33:37.858Z
10,M Chinnaswamy Stadium,2017,8,6,6,field,8,1,1,0,1,0,161.0,134.0,2026-01-07T06:33:37.858Z
11,Feroz Shah Kotla,2017,11,7,11,bat,7,1,0,1,0,1,168.0,169.0,2026-01-07T06:33:37.858Z
12,"Rajiv Gandhi International Stadium, Uppal",2017,0,9,9,field,0,1,1,0,1,0,159.0,154.0,2026-01-07T06:33:37.858Z
24,Saurashtra Cricket Association Stadium,2017,6,5,5,field,6,1,1,0,1,0,213.0,192.0,2026-01-07T06:33:37.858Z
12,"Rajiv Gandhi International Stadium, Uppal",2017,0,11,0,bat,0,1,1,0,1,0,191.0,176.0,2026-01-07T06:33:37.858Z
16,Holkar Cricket Stadium,2017,9,12,12,field,12,1,0,1,0,1,198.0,199.0,2026-01-07T06:33:37.858Z
8,Eden Gardens,2017,7,5,5,field,5,1,0,1,0,1,187.0,188.0,2026-01-07T06:33:37.858Z
21,Wankhede Stadium,2017,12,11,11,field,12,1,1,0,1,0,142.0,128.0,2026-01-07T06:33:37.858Z
7,Maharashtra Cricket Association Stadium,2017,0,8,13,field,8,1,0,1,0,1,176.0,179.0,2026-01-07T06:33:37.858Z
24,Saurashtra Cricket Association Stadium,2017,9,5,5,field,9,1,1,0,1,0,188.0,162.0,2026-01-07T06:33:37.858Z
8,Eden Gardens,2017,7,6,6,field,7,1,1,0,1,0,131.0,49.0,2026-01-07T06:33:37.858Z
21,Wankhede Stadium,2017,8,12,12,field,8,1,1,0,1,0,160.0,157.0,2026-01-07T06:33:37.858Z
7,Maharashtra Cricket Association Stadium,2017,8,7,7,field,7,1,0,1,0,1,182.0,184.0,2026-01-07T06:33:37.858Z
10,M Chinnaswamy Stadium,2017,6,5,5,field,5,1,0,1,0,1,134.0,135.0,2026-01-07T06:33:37.858Z
8,Eden Gardens,2017,11,7,7,field,7,1,0,1,0,1,160.0,161.0,2026-01-07T06:33:37.858Z
5,"Punjab Cricket Association IS Bindra Stadium, Mohali",2017,0,9,9,field,0,1,1,0,1,0,207.0,181.0,2026-01-07T06:33:37.858Z
7,Maharashtra Cricket Association Stadium,2017,8,6,6,field,8,1,1,0,1,0,157.0,96.0,2026-01-07T06:33:37.858Z
24,Saurashtra Cricket Association Stadium,2017,5,12,5,bat,12,1,0,1,0,1,153.0,153.0,2026-01-07T06:33:37.858Z
5,"Punjab Cricket Association IS Bindra Stadium, Mohali",2017,11,9,9,field,9,1,0,1,0,1,67.0,68.0,2026-01-07T06:33:37.858Z
12,"Rajiv Gandhi International Stadium, Uppal",2017,0,7,7,field,0,1,1,0,1,0,209.0,161.0,2026-01-07T06:33:37.858Z
21,Wankhede Stadium,2017,6,12,6,bat,12,1,0,1,0,1,162.0,165.0,2026-01-07T06:33:37.858Z
7,Maharashtra Cricket Association Stadium,2017,5,8,13,field,8,1,0,1,0,1,161.0,167.0,2026-01-07T06:33:37.858Z
11,Feroz Shah Kotla,2017,0,11,11,field,11,1,0,1,0,1,185.0,189.0,2026-01-07T06:33:37.858Z
8,Eden Gardens,2017,7,8,13,field,8,1,0,1,0,1,155.0,158.0,2026-01-07T06:33:37.858Z
11,Feroz Shah Kotla,2017,5,11,11,field,11,1,0,1,0,1,208.0,214.0,2026-01-07T06:33:37.858Z
10,M Chinnaswamy Stadium,2017,9,6,6,field,9,1,1,0,1,0,138.0,119.0,2026-01-07T06:33:37.858Z
12,"Rajiv Gandhi International Stadium, Uppal",2017,8,0,0,field,8,1,1,0,1,0,148.0,136.0,2026-01-07T06:33:37.858Z
11,Feroz Shah Kotla,2017,12,11,11,field,12,1,1,0,1,0,212.0,66.0,2026-01-07T06:33:37.858Z
10,M Chinnaswamy Stadium,2017,6,7,7,field,7,1,0,1,0,1,158.0,159.0,2026-01-07T06:33:37.858Z
5,"Punjab Cricket Association IS Bindra Stadium, Mohali",2017,9,5,5,field,5,1,0,1,0,1,189.0,192.0,2026-01-07T06:33:37.858Z
12,"Rajiv Gandhi International Stadium, Uppal",2017,12,0,12,bat,0,1,0,1,0,1,138.0,140.0,2026-01-07T06:33:37.858Z
5,"Punjab Cricket Association IS Bindra Stadium, Mohali",2017,9,7,7,field,9,1,1,0,1,0,167.0,153.0,2026-01-07T06:33:37.858Z
15,Green Park,2017,5,11,11,field,11,1,0,1,0,1,195.0,197.0,2026-01-07T06:33:37.858Z
21,Wankhede Stadium,2017,9,12,12,field,9,1,1,0,1,0,230.0,223.0,2026-01-07T06:33:37.858Z
11,Feroz Shah Kotla,2017,11,8,11,bat,11,1,1,0,1,0,168.0,161.0,2026-01-07T06:33:37.858Z
15,Green Park,2017,5,0,0,field,0,1,0,1,0,1,154.0,158.0,2026-01-07T06:33:37.858Z
8,Eden Gardens,2017,12,7,7,field,12,1,1,0,1,0,173.0,164.0,2026-01-07T06:33:37.858Z
7,Maharashtra Cricket Association Stadium,2017,9,8,13,field,8,1,0,1,0,1,73.0,78.0,2026-01-07T06:33:37.858Z
11,Feroz Shah Kotla,2017,6,11,6,bat,6,1,1,0,1,0,161.0,151.0,2026-01-07T06:33:37.858Z
21,Wankhede Stadium,2017,8,12,12,field,8,1,1,0,1,0,162.0,142.0,2026-01-07T06:33:37.858Z
